Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
WVE,WVE,Business description unavailable.,USD,17.15,17.15,2025-12-30,5.48,2025-04-10,144.0,21.31,2025-12-09,15.54,2025-12-18,27.1,9872716,0.1259,,,2025-04-29,19.0,5.84,2025-04-16,2025-04-30,True
ALMS,ALMS,Business description unavailable.,USD,9.88,9.88,2025-12-30,2.8,2025-06-23,143.3,13.3,2024-06-28,2.8,2025-06-23,78.9,1268446,0.0526,2025-07-23,30.0,2025-07-23,30.0,2.8,2025-06-23,2025-07-23,True
NUVB,NUVB,Business description unavailable.,USD,8.94,8.94,2025-12-30,1.66,2025-04-03,141.6,14.57,2021-03-19,0.96,2023-10-31,93.4,8579400,0.0652,2023-11-02,2.0,2025-04-28,25.0,1.71,2025-06-17,2025-07-09,True
SGHT,SGHT,Business description unavailable.,USD,8.0,8.0,2025-12-30,2.09,2025-04-08,138.8,39.1,2021-08-09,1.29,2023-10-26,96.7,244090,0.0582,2023-11-02,7.0,2025-04-21,13.0,2.41,2025-04-14,2025-04-23,True
REPL,REPL,Business description unavailable.,USD,9.82,9.82,2025-12-30,2.81,2025-07-22,133.3,45.57,2021-01-14,2.81,2025-07-22,93.8,1569083,0.0937,2025-07-29,7.0,2025-07-29,7.0,2.81,2025-07-22,2025-07-29,True
VICR,VICR,Business description unavailable.,USD,113.7,113.7,2025-12-30,39.41,2025-05-01,130.6,162.93,2021-11-17,31.82,2024-05-01,80.5,359606,0.0489,2024-07-31,91.0,2025-07-23,83.0,39.41,2025-05-01,2025-07-23,True
INBX,INBX,Business description unavailable.,USD,77.98,77.98,2025-12-30,10.84,2025-05-14,129.5,93.51,2025-12-08,76.21,2025-12-15,18.5,247206,0.1012,,,2025-06-09,26.0,10.84,2025-05-14,2025-06-09,True
CDTX,CDTX,Business description unavailable.,USD,220.8,220.8,2025-12-30,16.43,2025-04-04,129.2,220.98,2025-12-03,219.6,2025-12-10,0.6,1300580,0.0951,,,2025-04-22,18.0,18.63,2025-05-09,2025-05-16,True
OLMA,OLMA,Business description unavailable.,USD,25.07,25.07,2025-12-30,3.06,2025-04-08,127.1,53.64,2021-02-19,2.04,2022-05-11,96.2,6525380,0.1201,2022-05-25,14.0,2025-04-14,6.0,4.01,2025-06-17,2025-08-01,True
BBAR,BBAR,Business description unavailable.,USD,18.12,18.12,2025-12-30,7.96,2025-10-07,124.8,23.65,2025-01-22,7.96,2025-10-07,66.3,703180,0.057,2025-10-27,20.0,2025-10-27,20.0,7.96,2025-10-07,2025-10-27,True
CEPU,CEPU,Business description unavailable.,USD,17.32,17.32,2025-12-30,7.68,2025-09-19,123.2,17.95,2025-12-03,16.07,2025-12-16,10.5,308360,0.0571,,,2025-10-27,38.0,7.68,2025-09-19,2025-10-27,True
CELC,CELC,Business description unavailable.,USD,99.92,99.92,2025-12-30,8.21,2025-04-08,121.0,105.87,2025-12-04,99.05,2025-12-17,6.4,921043,0.0515,,,2025-04-22,14.0,9.75,2025-04-14,2025-06-06,True
LITE,LITE,Business description unavailable.,USD,371.18,371.18,2025-12-30,49.56,2025-04-04,116.6,395.92,2025-12-24,,,,4391003,0.0604,,,2025-05-07,33.0,50.07,2025-04-21,2025-05-07,True
GLUE,GLUE,Business description unavailable.,USD,15.97,15.97,2025-12-30,3.7,2025-05-14,112.9,42.21,2021-09-03,2.5,2023-10-25,94.1,1042520,0.0537,2023-10-31,6.0,2025-06-06,23.0,3.7,2025-05-14,2025-06-06,True
TCMD,TCMD,Business description unavailable.,USD,29.25,29.25,2025-12-30,9.42,2025-05-23,111.5,62.48,2021-02-12,6.55,2022-06-13,89.5,391670,0.0488,2022-08-02,50.0,2025-08-05,74.0,9.42,2025-05-23,2025-08-05,True
GGAL,GGAL,Business description unavailable.,USD,54.06,54.06,2025-12-30,26.13,2025-09-19,104.5,70.53,2025-01-07,26.13,2025-09-19,63.0,1322260,0.0567,2025-10-09,20.0,2025-10-09,20.0,26.13,2025-09-19,2025-10-09,True
NRIX,NRIX,Business description unavailable.,USD,19.02,19.02,2025-12-30,8.24,2025-09-23,102.3,50.17,2021-01-19,4.25,2023-10-25,91.5,1852026,0.0488,2023-10-31,6.0,2025-10-09,16.0,8.24,2025-09-23,2025-10-09,True
